height,hash,total_vp,cosmosvalcons1dg72e6h2tpkf4uc9zfyadle5js5rthcs892vnj,cosmosvalcons1pk34jc9vww287s2ef8k6lzz7r2dpscms7af6ny,cosmosvalcons1nyquekjzh9ywmhyrt76u32cxwv9fcg7dxprygj,cosmosvalcons172wrmvq0w0m4mp9hmlw80pal0z53c65punhf2k,cosmosvalcons15w5mjufgd8ezfa83709nmews88tzdrepugw2jd,cosmosvalcons1kke43d43wpfw9cdqpw8d0qf8ll0ltp90a4jpja,cosmosvalcons1e5x6sh63qdz74m9h8thddc7zceddyljnhkcdsu,cosmosvalcons123zrau6pyk7mma6d3c0armpc2utqau7vm88u9x,cosmosvalcons1zq7v8lz7jrqyacsgh5r3dhygj4ffymhckysvw6,cosmosvalcons1lx9nq9909u49ezzjyc7ktg9k08ahnxuvhsj2ym,cosmosvalcons1z5q6n9hd24mlcew407f2ej8ptnnt0haddknugk,cosmosvalcons18wv3ddgpc5lrsq2kwc5z798z4tcztak9yny2x5,cosmosvalcons13feufd67xc8lrydcgjnphzz95zkkt5sgwkzccn,cosmosvalcons12freezz7w0f02ux50e0sgvmc2pgn2rw3pukgsc,cosmosvalcons1lj2q9l6t2wutwf3yclaj3h0yj7t7736t09d42h,cosmosvalcons16hf7ktj7yds8sta04d7qk0z9hla3tpatsd0vf5,cosmosvalcons1yna32lcuhtjkq7f4nsnp9ln8wykwjepxhxsr5g,cosmosvalcons1jh3lz46dmdgr7quqmx9fwmsvlprfhp60x8aaer,cosmosvalcons1qqlx7730mz96503pz729vu07pkv5u9ca85dhwe,cosmosvalcons1qwzmrx23fayrsudhhqq6jgal2wthk2gklq43vd,cosmosvalcons1q04tlwzqn38k9fej50tj3t929cf5q06s37z0y8,cosmosvalcons1q4ht5pn0kc64le4crl0nwhqumh6maw7x37696r,cosmosvalcons1pw8cra4g934nwzxkrykz45d4xgy7qnmvvtuaqt,cosmosvalcons1ze39xyf4t3ye8ldxn5scsaw2adur7ek4tt5jmp,cosmosvalcons1rca0mkvwpcdwk588u7l8hdutwx4elcd6688ypz,cosmosvalcons1rljsrflyeuzf3we6kghkf4qjeqflsygepnzl53,cosmosvalcons19y4nwy0ygg7z73ahhevt7uh090g8wr8sgv6n2l,cosmosvalcons1xpgp8n9xnpnd49pzv4jf6444048j23wvtsnvak,cosmosvalcons1xc0aszah3y7yksgy6rt63jf37d3dzuxcr8s59x,cosmosvalcons184pytrwcz8yjrndz5zq0kqvvhw3tj88a90hv5m,cosmosvalcons1gx49m7vtmw9gpxu4dfujtnepl2g96zxasea2j9,cosmosvalcons1g2ysa6n7nvpgjps9zdf4dkgtvse6ga6f6kmepz,cosmosvalcons1g4zw77yzsh34sfkm9rkx9ltsg42vcu2kgt95gy,cosmosvalcons1f4hpdclhmz0gmqulw95f844plqwfl9td6qcqym,cosmosvalcons12t4pcfx6jnr84rld03rwrzsul3rk64che77jfz,cosmosvalcons12h4v7ms5wfhp87tnjqmpgzrcvaqymuk2v49c7q,cosmosvalcons1t8xflpfzx4rnmatmemehcc8n52wmx6q3g4mxch,cosmosvalcons1t0kswnadw2e5rh3xksmz3uh7pyt6c8trcfwe5k,cosmosvalcons1v5v9hsn4awfr9gkl7ga7kn42qada457w83pqdz,cosmosvalcons1v6zrud945rxq6nl6eexf9rfqqafafwwnx57rvy,cosmosvalcons1vuwq3w64c8py9hz6xs5gnnvvqpccj0lesm3u0k,cosmosvalcons1dkw3fgnjnwjlq2hjqw46l4wws2zd6fns063eyq,cosmosvalcons1w86lpg205h9gsy32yetfkrp6nc7xuh90dz5uy3,cosmosvalcons1wns96l4057a75jez52hlhvw2d7t5wze4ke90cz,cosmosvalcons1wmvevar5kc5rtecr54m3q8gl6d0cf5mt29jcy9,cosmosvalcons108aypezdajecj03kg66c4gfu0l5f3053x392lf,cosmosvalcons10f4xx96k72eypj7l4qwlv4x6hfvecrenl09tsx,cosmosvalcons10vx7jlqg9tnezxfgqp873v294g0l2cpchuw6qc,cosmosvalcons10crq9qa7gp8paqxwwwxae3kp970duqgn0s9qcc,cosmosvalcons10m4u3cyxmdj98ame2nzye9xkldhs5cj7jm6yq5,cosmosvalcons1s7kc8tyvsj47tkyfpexlusrlz77dg26wmvt0hx,cosmosvalcons1sl5j5snqwqts3ru9qc0zqunmu08lvxvekpj2mt,cosmosvalcons133lxdszpdgqzel834x0c3uelej84nx2yhrey5d,cosmosvalcons13aa4rs0g2g8qh75ffmvryylyth43pc2kgmgdpf,cosmosvalcons1j6yyhc5af53347us6q68fq5x65dxh62rym9aq5,cosmosvalcons1jur4mxvvz9m3kw925zk0hl0snmks0z7fwmlc9x,cosmosvalcons1j7t42uegq7dm85l93rddsulsafkqnrqsnjtf5s,cosmosvalcons1nqz3a6w3zxpx6zsrh0wsxdx8cfr0c33k38lk8e,cosmosvalcons1njrm0dasu7d5h6qawtrtdrm3y27tqnhv0vxdyc,cosmosvalcons15xu5spj4r5j63wwyk4gwhmq7nvvkzx348krpn6,cosmosvalcons15t3h8hqgjj7qe584c75weu30r70g74tep3yuta,cosmosvalcons14fm6gslcf9sx5j5wk93ew5sx3sdza6j7vr96r4,cosmosvalcons1kkdkxvcl6gfqezdl9e7av4l8lx4qjzsaj380nf,cosmosvalcons1csa5vmvu8fsgtxmx5j8qk4xxv278q8a4pce87v,cosmosvalcons1635xssr82smqqr5mxwu2tqvnh9qx4hdresz7fw,cosmosvalcons16etd37wqd3h3209pwf7w86ast0c4vapcvf349n,cosmosvalcons1m9zg6xjs0g8hjtp97nl2uqwah3r53j5z6a9ppw,cosmosvalcons1md008gt5q9z3tgzxaq8rze8zys2pyds596lfv6,cosmosvalcons1msqd5pywcs9l99fsvfnqrpqtrr6g4j99uqmckk,cosmosvalcons1uykcdtp8jfvuhvxvr5k9m206mcla35j09s3q49,cosmosvalcons1uxjga5twkestune9nc8r5c4chet0g83kdf7u68,cosmosvalcons1uc6e0cl5duageq3hnfedxl7h62qwsvh6ppkgc4,cosmosvalcons1aegqgn27upl69skvjnc6s8ftdkkuzqlt46r6tg,cosmosvalcons17m4ucgq6q5wzzp4x7rxetfzjeppm5nc5f9nc32,cosmosvalcons1y9r49naje4wtqrkxy4eecgj25srzymgw8k5ywt,cosmosvalcons1y022gjzdfkrggfekjzyvf59zu4k64ar98aau5k,cosmosvalcons12lfvpusgm69kq0dxexm4ek2uxfvhhc6grdxfa8,cosmosvalcons1thhlg48txpsclg4e0rvl78yt2ge3ruw3utwd7q,cosmosvalcons10f6wkg5ckfkvnucvr35z5hqdugy7ud58rfsxmn,cosmosvalcons1lhnmnmd9arv33wsyyd06xp928n5zcpxp4t8k0t,cosmosvalcons1xhfftsd6wxx6jxl7xsdv8hsfk7txjgwf73uq6q,cosmosvalcons1tg3gv86h7y5znd52qghmsptgtf89s5xre3edlr,cosmosvalcons16p3evw80wdns6jqna8grfazfjenm80n7cle8kj,cosmosvalcons1nd2fpxeephw7tmqpgymrq3gvjpzwlr3wvjttu6,cosmosvalcons14knt8vk78wexsmd7792rcvyazrfraskv6hpm2t,cosmosvalcons1k3m4krltmlsz84hzgaytm59nn7pkd2xaygdpj0,cosmosvalcons1ht8qrurx6lpngj4pjns6rdhm7mlga0suun8jwk,cosmosvalcons1hexe6e6hnk0fan7n9vu6kt40nz86022kmyg9qp,cosmosvalcons1cq35fan5z5r5csl2rddjqclun93jn3hpxh2v0g,cosmosvalcons1cave3x44qrklv2wyemgjvl9rpanquspyeqvk4m,cosmosvalcons1e94h53knufh6m44chyun6thqxx90hflwue6x05,cosmosvalcons1efueez5q0x6m4sruhnmhe9x2q5xtfjuqazpjhc,cosmosvalcons1eszcs2tcl30a66nhy958u9xq9xdwqp9c65dnm6,cosmosvalcons1ek3cslf0ppj7sjavnjpyr494luu4j8fgdf6n8d,cosmosvalcons16q4jna57d07rufql8qtzaqhwf3ud3hdf5yt3y2,cosmosvalcons1vr0ajahfkaytrc0sdltmdqy6xu9a8gcz76c48z,cosmosvalcons1ual79gxh0p8eeet46d0sn7an8wc9ej0t2hav6n,cosmosvalcons1utxmxyfuqwfxqwqsu95jnjrvqyayda2q9dx2lc,cosmosvalcons1mhu56sd3tea8wy3zt8vrk27u7369gqehx23n9e,cosmosvalcons1x4vz8rtjltq2gze8dk8j8rxl9zlpdd92s26eq0,cosmosvalcons17l0ea7fqm77deg0nsg23dpdxj5qt4a3spdwd0t,cosmosvalcons1nvkcrlcjdqm9s365vpzvhttgswpdddnyf829we,cosmosvalcons174psdtj9x65grzemedrdz4jq8l8fg3jsaxc9j2,cosmosvalcons1pcc3ud35krm0t9vljw29wu3n66yzvfwsj8fm8z
18143,7366652c30bda162e09c418c1120ec77d23abc350f9b2b0948270b7fbb53e763,670103377,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,10,10,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18216,ccb07a18c9a4157e43e17fcc300ba67f336955ffa63cb4adaa2eb578bf7df453,670103378,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,10,11,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18252,8957f5ea99116fd5dd878c125ac2681f477fe601d129dc18408ed2d2d57a5629,670103383,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,10,16,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18288,b7e4be0c55c27153412c9783e928a88dac8fb5c48622f3e97d783da173b7c48c,670103384,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,10,17,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18323,9de9257a7655a247bd8461a15fc98fb6612bd64ea527ea2732c6066550a387ab,670103386,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,10,19,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18359,234bd4c11a229f21323d422b9a82b42a3c53dcdf93c47c30789a0895eb42f034,670103387,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,10,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18431,dba681946f4c6f67755c2384b9e7dee8d6d038fc33cbc037bd0cc0c5be2caa57,670103388,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,11,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18467,bbe8c960a371c0538e9ab95df69478255cb0cc9f38a04f15785a1a2a9fca2614,670103393,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,16,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18503,f413bc6b40bfeafb5579a33c31c29cc4655ac7eb1e0089a0d5effacd979c74c0,670103394,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,17,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18539,26e943e7b02553acbdc80176f64e3983055f4245f6710ccc2a341844f92480fe,670103396,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,19,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18575,d2ff373828915ed3a2f066ea30c7e88c780d520fea3596e4d0daa996344f72e5,670103397,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18646,e1152d27a0999caab5de87cd462baa047a688047a43f2eedf3d8dfda0a8cfe43,670103398,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,11,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18682,f6c53745683b642e3d15b439cf81ef0c6bb70b314855e462d06ff9ba2bf85fae,670103403,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,16,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18719,26ebfc854bd53898067cd9c00aa82dbf5dd83a4ec73d21d7c849ab73360854d3,670103404,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,17,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18755,0108e69b289e551ff92eee25f769ad7b0fc0bd73fa2e8fbb64332cbbff106267,670103406,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,19,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18791,c2f2acee847fb2674614afe26bb353b34dafd7986f475e83f83faa1b32f00974,670103407,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18862,ef027b831c2236bf5e9a9aea0099b3a7dc340a36078646122e07734a9b91e127,670103408,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,11,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18898,dcbd9b8fd15c057e7148b430fff09ef347b4f1bd60c73803788994600e0a4934,670103413,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,16,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18934,4c8a8c49eddc5470dcfd380ca492b0b0c4c0458a114aa2e5637e79fead9ae029,670103414,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,17,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
18970,18ffb77045abc08e9be943208e49e193e3638dcc20fbe89e67a691af720e03f4,670103416,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,19,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
19006,58799befd72247b477394fb78b21ea63cf2c7524c6f86002022ec1f9637ae7d5,670103417,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,10,17,20,20,0,0,0,0,0
19077,1a4bfa9e2032bcb7b5e5e9593707859173b58f8010d5be13d2c26f037d1da715,670103418,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,11,17,20,20,0,0,0,0,0
19114,509fc24487e03735e0c561d196a29012b8196dfac90e24cd64cdfe62694846d5,670103423,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,16,17,20,20,0,0,0,0,0
19150,f3bf9a74aec7f0065e950810d366d7c05702ff4cc91cd4c4a1c6946322812144,670103424,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,17,17,20,20,0,0,0,0,0
19186,7bfb2321a665c3b74cb308f02d5bc3064e6bbcc626b6db48be86c7d0cc7b80f4,670103426,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,19,17,20,20,0,0,0,0,0
19221,98b6a556bc0fd1e0aa49e3b6c60eb41c636842a331f9ccabc16d210f25996962,670103427,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,10,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19294,25f4e6fc6be81f57098f3d4241d2ccfe095fc4ed6bce6d8a39985b9bcc9abdd8,670103428,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,11,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19330,3ec947c9a0017a4449a8285fd43a622def7fed09863251c25520742c6167bc5b,670103433,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,16,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19366,f12c983abe94b55d491fad1100036e38085170ecd4d0a72186d987a1803a6421,670103434,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,17,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19402,314d6360d6cde0b3a92a140f1dade74ec9ce5af5770ba747df2652291bb716b3,670103436,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,19,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19438,f5c99e9455415462b98d28db63aa47cd74cf9c8cbba55baddf0e69d36314bc5e,670103437,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,20,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,10,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19509,5b38799269cb1bb9b03631229346efa780131f750fec308e4f370352365969ec,670103438,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,20,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,11,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19545,822720b007fe34c46e34a60c4ee5e25cdab18d79d325647c117de9b51f5d0afa,670103443,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,20,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,16,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19581,fdbdab179d45cf6229489687c8bf3005afb92db9dcf5b8ae1c608b2ac04c2bfc,670103444,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,20,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,17,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19617,e4b4fa6927da7bd5b1ee17bf4d8e4d8e59b3b4fbecf9d2c404e0c4b82a911dd8,670103446,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,20,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,19,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19653,8bbbe03ee0cd9293622fa320407404a6be3b4b59e9f8838b14f0896cf8c671f9,670103447,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,20,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,0,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
19696,f5c21d175d5704bf9cfe9d4ef8d3e478e62b00a323c128fc64d4926cf17d5039,670103457,670100004,784,427,310,300,93,39,19,0,17,26,16,16,15,25,24,0,11,10,10,10,10,10,10,19,0,0,10,10,10,10,10,10,10,10,10,10,20,20,20,20,31,20,20,20,20,20,20,20,20,20,0,20,28,20,20,20,20,20,10,20,20,20,20,20,19,20,18,11,20,11,20,20,20,19,20,10,0,20,20,18,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,17,20,20,0,0,0,0,0
